,custo
258,PIX TRANSF  Joadson05/03
260,ELECTRONTK SABRINA
261,ELECTRONABALA CN
262,ELECTRONATELIER JUN
263,ELECTRONCHIQUINHO S
264,ELECTRONMALURA ALIM
269,ELECTRONACEROLA E A
271,ELECTRONAUTOPISTA F
272,ELECTRONAUTOPISTA F
275,ELECTRONFUMIKO KOSE
281,PIX TRANSF  THAYNA 10/03
283,ELECTRONBAR DO ALEM
286,ELECTRONSHOPPING IG
290,ELECTRONUNIDAS LOCA
291,PIX TRANSF  DORALIC13/03
292,PIX TRANSF  Erinald13/03
295,ELECTRONPOSTO 4 IRM
296,PIX QRS ADELY SILVA14/03
297,PIX QRS 52386368 SE14/03
298,PIX TRANSF  JESSICA14/03
299,ELECTRONASSAI ATACA
300,ELECTRONFORTE FARMA
301,ELECTRONMP*MARIA
304,ELECTRONALUGUEL LOC
306,ELECTRONCAROL SORVE
307,ELECTRONGRAAL TRES
308,ELECTRONKNL SORVETE
309,ELECTRONMP*FOTOGRAF
310,ELECTRONNEW MANIA C
311,ELECTRONPAG*CarlaFe
312,ELECTRONPAG*ErikaCr
313,ELECTRONPAG*Gelsonb
314,ELECTRONPAG*Karolyn
316,ELECTRONPORTAL DAS
317,ELECTRONRODOSNACK I
319,ELECTRONSUPERMERC P
320,PIX QRS PATRICIA SI17/03
321,PIX QRS PATRICIA SI17/03
322,PIX TRANSF  ELIZABE18/03
324,PIX TRANSF  KAUA CU16/03
325,PIX TRANSF  NAYANA 17/03
326,PIX TRANSF  Rogerio16/03
327,PIX TRANSF  RICARDO17/03
328,PIX TRANSF  SEVERIN17/03
