"data";"lançamento";"";"valor";"nome_arquivo";"data_base"
"07/02/2026";"Controle de saldo";"";"0";"credito_uniclass_black_2026_01.csv";"01/01/2026"
"09/01/2026";"LOCALIZA RENT A CA01/10";"";"500";"credito_uniclass_black_2026_01.csv";"01/01/2026"
"11/02/2026";"REDE CONFIANCASAO PAULOBRA";"";"50";"credito_uniclass_black_2026_02.csv";"01/02/2026"
"11/02/2026";"Propig *MELO 2 COMERCIsao PauloBRA";"";"178";"credito_uniclass_black_2026_02.csv";"01/02/2026"
"11/02/2026";"NSA I POSTO DE ABASTECSAO PAULOBRA";"";"89.26";"credito_uniclass_black_2026_02.csv";"01/02/2026"
"25/01/2026";"REDE CONFIAN-CT        SAO PAULO     BRA";"";"50";"credito_uniclass_black_2026_02.csv";"01/02/2026"
"22/01/2026";"REDE CONFIAN-CT        SAO PAULO     BRA";"";"100";"credito_uniclass_black_2026_02.csv";"01/02/2026"
"20/01/2026";"REDE CONFIAN-CT        SAO PAULO     BRA";"";"100";"credito_uniclass_black_2026_02.csv";"01/02/2026"
"20/01/2026";"PAGAMENTO EFETUADO";"";"-500";"credito_uniclass_black_2026_02.csv";"01/02/2026"
"13/01/2026";"PUNTO  *AUTO POSTO CE  SAO PAULO     BRA";"";"221.53";"credito_uniclass_black_2026_02.csv";"01/02/2026"
"09/01/2026";"LOCALIZA RENT A CA02/10SAO PAULO     BRA";"";"500";"credito_uniclass_black_2026_02.csv";"01/02/2026"
"16/02/2026";"ABASTEC*abastece aiSao PauloBRA";"";"100";"credito_uniclass_black_2026_03.csv";"01/03/2026"
"15/02/2026";"ABASTEC*abastece aiSao PauloBRA";"";"100";"credito_uniclass_black_2026_03.csv";"01/03/2026"
"13/02/2026";"ABASTEC*abastece aiSao PauloBRA";"";"100";"credito_uniclass_black_2026_03.csv";"01/03/2026"
"11/02/2026";"Propig *MELO 2 COMERCIsao PauloBRA";"";"178";"credito_uniclass_black_2026_03.csv";"01/03/2026"
"09/01/2026";"LOCALIZA RENT A CAR -V SAO PAULO     BRA";"";"500";"credito_uniclass_black_2026_03.csv";"01/03/2026"
"11/02/2026";"Propig *MELO 2 COMERCIsao PauloBRA";"";"178";"credito_uniclass_black_2026_04.csv";"01/04/2026"
"09/01/2026";"LOCALIZA RENT A CAR -V SAO PAULO     BRA";"";"500";"credito_uniclass_black_2026_04.csv";"01/04/2026"
"11/02/2026";"Propig *MELO 2 COMERCIsao PauloBRA";"";"178";"credito_uniclass_black_2026_05.csv";"01/05/2026"
"09/01/2026";"LOCALIZA RENT A CAR -V SAO PAULO     BRA";"";"500";"credito_uniclass_black_2026_05.csv";"01/05/2026"
"11/02/2026";"Propig *MELO 2 COMERCIsao PauloBRA";"";"178";"credito_uniclass_black_2026_06.csv";"01/06/2026"
"09/01/2026";"LOCALIZA RENT A CAR -V SAO PAULO     BRA";"";"500";"credito_uniclass_black_2026_06.csv";"01/06/2026"
"09/01/2026";"LOCALIZA RENT A CAR -V SAO PAULO     BRA";"";"500";"credito_uniclass_black_2026_07.csv";"01/07/2026"
"09/01/2026";"LOCALIZA RENT A CAR -V SAO PAULO     BRA";"";"500";"credito_uniclass_black_2026_08.csv";"01/08/2026"
"09/01/2026";"LOCALIZA RENT A CAR -V SAO PAULO     BRA";"";"500";"credito_uniclass_black_2026_09.csv";"01/09/2026"
"09/01/2026";"LOCALIZA RENT A CAR -V SAO PAULO     BRA";"";"500";"credito_uniclass_black_2026_10.csv";"01/10/2026"
"09/01/2026";"LOCALIZA RENT A CAR -V SAO PAULO     BRA";"";"500";"credito_uniclass_black_2026_11.csv";"01/11/2026"
"09/01/2026";"LOCALIZA RENT A CAR -V SAO PAULO     BRA";"";"500";"credito_uniclass_black_2026_12.csv";"01/12/2026"
